# This file is generated on 06-Dec-2021 at 11:37:42 and contains for each site:
# att_oxy = attenuation due to oxygen (dB).
# All parameters are computed by: ITU-R P.676-8 model general method.
# Attenuation due to oxygen results are sorted acording to the site identification number:
#    _ 1 = Budapest (Lat = 4.7498e+01 deg, Lon = 1.9040e+01 deg, Alt = 5.2700e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, freq (GHz), elev (deg), prob_elev, att_oxy (dB)
1, 1, 7.5000e+01, 5.5000e+01, 1.0000e+00, 5.6596e-01
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 5.3538e-01
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 5.1162e-01
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 4.9347e-01
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 4.8009e-01
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 4.7089e-01
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 4.6552e-01
1, 8, 7.5000e+01, 9.0000e+01, 1.0000e+00, 4.6375e-01
