# This file is generated on 06-Dec-2021 at 11:37:42 and contains for each site, each satellite, frequency:
# att_cld_cdf_val = cdf value of attenuation due to clouds (dB); att_cld_cdf_prob = cdf probability of attenuation due to clouds (%).
# All parameters are computed by: ITU-R P.840-4 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Budapest (Lat = 4.7498e+01 deg, Lon = 1.9040e+01 deg, Alt = 5.2700e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), att_cld_cdf_val (dB), att_cld_cdf_prob (%)
1, 1, 7.5000e+01, 7.1269e+00, 5.0000e-04
1, 1, 7.5000e+01, 7.1269e+00, 1.0000e-03
1, 1, 7.5000e+01, 7.1269e+00, 3.0000e-03
1, 1, 7.5000e+01, 7.1269e+00, 5.0000e-03
1, 1, 7.5000e+01, 7.1269e+00, 1.0000e-02
1, 1, 7.5000e+01, 7.1269e+00, 1.6000e-02
1, 1, 7.5000e+01, 7.1269e+00, 2.7000e-02
1, 1, 7.5000e+01, 7.1269e+00, 4.5000e-02
1, 1, 7.5000e+01, 7.1269e+00, 7.7000e-02
1, 1, 7.5000e+01, 6.9174e+00, 1.3000e-01
1, 1, 7.5000e+01, 6.5310e+00, 2.1000e-01
1, 1, 7.5000e+01, 6.0404e+00, 3.5000e-01
1, 1, 7.5000e+01, 5.4337e+00, 6.0000e-01
1, 1, 7.5000e+01, 4.9572e+00, 9.5000e-01
1, 1, 7.5000e+01, 4.2278e+00, 1.7000e+00
1, 1, 7.5000e+01, 3.5395e+00, 3.0000e+00
1, 1, 7.5000e+01, 2.8030e+00, 5.1000e+00
1, 1, 7.5000e+01, 2.1091e+00, 8.3000e+00
1, 1, 7.5000e+01, 1.5817e+00, 1.2000e+01
1, 1, 7.5000e+01, 9.2139e-01, 1.9000e+01
1, 1, 7.5000e+01, 3.4815e-01, 3.0000e+01
1, 1, 7.5000e+01, 1.6721e-01, 4.0000e+01
1, 1, 7.5000e+01, 2.6859e-02, 5.0000e+01
1, 1, 7.5000e+01, 3.0553e-04, 6.0000e+01
1, 1, 7.5000e+01, 0.0000e+00, 7.0000e+01
1, 1, 7.5000e+01, 0.0000e+00, 8.0000e+01
1, 1, 7.5000e+01, 0.0000e+00, 9.9990e+01
1, 1, 7.5000e+01, 7.1269e+00, 5.0000e-04
1, 1, 7.5000e+01, 7.1269e+00, 1.0000e-03
1, 1, 7.5000e+01, 7.1269e+00, 3.0000e-03
1, 1, 7.5000e+01, 7.1269e+00, 5.0000e-03
1, 1, 7.5000e+01, 7.1269e+00, 1.0000e-02
1, 1, 7.5000e+01, 7.1269e+00, 1.6000e-02
1, 1, 7.5000e+01, 7.1269e+00, 2.7000e-02
1, 1, 7.5000e+01, 7.1269e+00, 4.5000e-02
1, 1, 7.5000e+01, 7.1269e+00, 7.7000e-02
1, 1, 7.5000e+01, 6.9174e+00, 1.3000e-01
1, 1, 7.5000e+01, 6.5310e+00, 2.1000e-01
1, 1, 7.5000e+01, 6.0404e+00, 3.5000e-01
1, 1, 7.5000e+01, 5.4337e+00, 6.0000e-01
1, 1, 7.5000e+01, 4.9572e+00, 9.5000e-01
1, 1, 7.5000e+01, 4.2278e+00, 1.7000e+00
1, 1, 7.5000e+01, 3.5395e+00, 3.0000e+00
1, 1, 7.5000e+01, 2.8030e+00, 5.1000e+00
1, 1, 7.5000e+01, 2.1091e+00, 8.3000e+00
1, 1, 7.5000e+01, 1.5817e+00, 1.2000e+01
1, 1, 7.5000e+01, 9.2139e-01, 1.9000e+01
1, 1, 7.5000e+01, 3.4815e-01, 3.0000e+01
1, 1, 7.5000e+01, 1.6721e-01, 4.0000e+01
1, 1, 7.5000e+01, 2.6859e-02, 5.0000e+01
1, 1, 7.5000e+01, 3.0553e-04, 6.0000e+01
1, 1, 7.5000e+01, 0.0000e+00, 7.0000e+01
1, 1, 7.5000e+01, 0.0000e+00, 8.0000e+01
1, 1, 7.5000e+01, 0.0000e+00, 9.9990e+01
1, 1, 7.5000e+01, 7.1269e+00, 5.0000e-04
1, 1, 7.5000e+01, 7.1269e+00, 1.0000e-03
1, 1, 7.5000e+01, 7.1269e+00, 3.0000e-03
1, 1, 7.5000e+01, 7.1269e+00, 5.0000e-03
1, 1, 7.5000e+01, 7.1269e+00, 1.0000e-02
1, 1, 7.5000e+01, 7.1269e+00, 1.6000e-02
1, 1, 7.5000e+01, 7.1269e+00, 2.7000e-02
1, 1, 7.5000e+01, 7.1269e+00, 4.5000e-02
1, 1, 7.5000e+01, 7.1269e+00, 7.7000e-02
1, 1, 7.5000e+01, 6.9174e+00, 1.3000e-01
1, 1, 7.5000e+01, 6.5310e+00, 2.1000e-01
1, 1, 7.5000e+01, 6.0404e+00, 3.5000e-01
1, 1, 7.5000e+01, 5.4337e+00, 6.0000e-01
1, 1, 7.5000e+01, 4.9572e+00, 9.5000e-01
1, 1, 7.5000e+01, 4.2278e+00, 1.7000e+00
