,PDF
5,1.2923093269783565
10,0.8568593335243369
15,0.5756667887318064
20,0.3980714972838926
25,0.26923901556045926
30,0.20264078126749152
35,0.13718097832995915
40,0.10834071732559705
45,0.08253627326906256
50,0.05502418217937504
55,0.04686542413208839
60,0.0390861432032802
65,0.02618392117501295
70,0.015368823298377165
75,0.012902222028267251
80,0.00796901948804742
85,0.0030358169478275883
90,0.0
