# This file is generated on 06-Dec-2021 at 11:29:41 and contains for each site, each satellite, frequency:
# att_comb = total attenuation (dB).
# All parameters are computed by: ITU-R P.618-10 model.
# Total attenuation results are sorted acording to the site identification number:
#    _ 1 = Budapest (Lat = 4.7498e+01 deg, Lon = 1.9040e+01 deg, Alt = 5.2700e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), att_comb (dB)
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 5.0000e-04, 3.9168e+02
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 1.0000e-03, 3.7213e+02
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 3.0000e-03, 3.2676e+02
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 5.0000e-03, 3.0189e+02
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 1.0000e-02, 2.6669e+02
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 1.6000e-02, 2.4295e+02
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 2.7000e-02, 2.1752e+02
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 4.5000e-02, 1.9434e+02
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 7.7000e-02, 1.7222e+02
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 1.3000e-01, 1.5122e+02
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 2.1000e-01, 1.3247e+02
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 3.5000e-01, 1.1416e+02
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 6.0000e-01, 9.6545e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 9.5000e-01, 8.3797e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 1.7000e+00, 6.8658e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 3.0000e+00, 5.6101e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 5.1000e+00, 4.4945e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 8.3000e+00, 3.5524e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 1.2000e+01, 2.8877e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 1.9000e+01, 2.1050e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 3.0000e+01, 1.4469e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 4.0000e+01, 1.2175e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 5.0000e+01, 1.0480e+01
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 6.0000e+01, 9.9986e+00
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 7.0000e+01, 9.8721e+00
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 8.0000e+01, 9.8256e+00
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 9.9990e+01, 9.8739e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 5.0000e-04, 2.6756e+02
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 1.0000e-03, 2.5093e+02
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 3.0000e-03, 2.1513e+02
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 5.0000e-03, 1.9625e+02
