# This file is generated on 06-Dec-2021 at 11:29:41 and contains for each site, each satellite, frequency:
# att_scin = attenuation due to scintillation (dB).
# All parameters are computed by: ITU-R P.618-10 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Budapest (Lat = 4.7498e+01 deg, Lon = 1.9040e+01 deg, Alt = 5.2700e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), att_scin (dB)
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 1.6000e-02, 3.0429e+00
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 2.7000e-02, 2.7862e+00
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 4.5000e-02, 2.5520e+00
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 7.7000e-02, 2.3211e+00
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 1.3000e-01, 2.1092e+00
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 2.1000e-01, 1.9250e+00
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 3.5000e-01, 1.7373e+00
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 6.0000e-01, 1.5467e+00
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 9.5000e-01, 1.3888e+00
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 1.7000e+00, 1.1927e+00
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 3.0000e+00, 1.0029e+00
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 5.1000e+00, 8.2489e-01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 8.3000e+00, 6.5911e-01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 1.2000e+01, 5.3109e-01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 1.9000e+01, 3.6731e-01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 3.0000e+01, 1.9868e-01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 4.0000e+01, 8.8889e-02
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 5.0000e+01, 1.5728e-03
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 6.0000e+01, -7.1285e-02
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 7.0000e+01, -1.3402e-01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 8.0000e+01, -1.8923e-01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 9.9990e+01, -2.8338e-01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 5.0000e-04, 3.8029e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 1.0000e-03, 3.4107e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 3.0000e-03, 2.8634e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 5.0000e-03, 2.6367e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 1.0000e-02, 2.3543e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 1.6000e-02, 2.1778e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 2.7000e-02, 1.9941e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 4.5000e-02, 1.8265e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 7.7000e-02, 1.6612e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 1.3000e-01, 1.5096e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 2.1000e-01, 1.3777e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 3.5000e-01, 1.2434e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 6.0000e-01, 1.1070e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 9.5000e-01, 9.9398e-01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 1.7000e+00, 8.5359e-01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 3.0000e+00, 7.1777e-01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 5.1000e+00, 5.9037e-01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 8.3000e+00, 4.7173e-01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 1.2000e+01, 3.8010e-01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 1.9000e+01, 2.6288e-01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 3.0000e+01, 1.4219e-01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 4.0000e+01, 6.3618e-02
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 5.0000e+01, 1.1257e-03
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 6.0000e+01, -5.1019e-02
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 7.0000e+01, -9.5916e-02
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 8.0000e+01, -1.3544e-01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 9.9990e+01, -2.0281e-01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 5.0000e-04, 2.9501e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 1.0000e-03, 2.6459e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 3.0000e-03, 2.2213e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 5.0000e-03, 2.0454e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 1.0000e-02, 1.8264e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 1.6000e-02, 1.6894e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 2.7000e-02, 1.5469e+00
