# This file is generated on 06-Dec-2021 at 11:29:41 and contains for each site, each satellite, frequency:
# att_rain = attenuation due to rain (dB); hr = mean rain height above sea level (km); R001 = Rain rate for 0.01 percente time of average year; k = k factor for rain attenuation; alpha = alpha factor for rain attenuation.
# All parameters are computed by: ITU-R P.618-10 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Budapest (Lat = 4.7498e+01 deg, Lon = 1.9040e+01 deg, Alt = 5.2700e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), hr (km), R001 (mm/h), k, alpha, att_rain (dB)
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 2.7000e-02, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 9.6453e+01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 4.5000e-02, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 8.0017e+01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 7.7000e-02, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 6.4537e+01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 1.3000e-01, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 5.1380e+01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 2.1000e-01, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 4.1043e+01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 3.5000e-01, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 3.1774e+01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 6.0000e-01, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 2.3805e+01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 9.5000e-01, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 1.8330e+01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 1.7000e+00, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 1.2905e+01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 3.0000e+00, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 8.9670e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 5.1000e+00, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 6.2600e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 8.3000e+00, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 4.4282e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 1.2000e+01, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 3.3721e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 1.9000e+01, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 2.3711e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 3.0000e+01, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 1.6478e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 4.0000e+01, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 1.3011e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 5.0000e+01, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 1.0792e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 6.0000e+01, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 9.2402e-01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 7.0000e+01, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 8.0898e-01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 8.0000e+01, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 7.2005e-01
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 9.9990e+01, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 5.9123e-01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 5.0000e-04, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 1.9098e+02
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 1.0000e-03, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 1.7598e+02
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 3.0000e-03, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 1.4487e+02
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 5.0000e-03, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 1.2879e+02
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 1.0000e-02, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 1.0681e+02
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 1.6000e-02, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 9.2404e+01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 2.7000e-02, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 7.7299e+01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 4.5000e-02, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 6.3816e+01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 7.7000e-02, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 5.1206e+01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 1.3000e-01, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 4.0564e+01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 2.1000e-01, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 3.2255e+01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 3.5000e-01, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 2.4850e+01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 6.0000e-01, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 1.8522e+01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 9.5000e-01, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 1.4200e+01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 1.7000e+00, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 9.9419e+00
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 3.0000e+00, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 6.8707e+00
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 5.1000e+00, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 4.7723e+00
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 8.3000e+00, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 3.3602e+00
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 1.2000e+01, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 2.5498e+00
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 1.9000e+01, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 1.7851e+00
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 3.0000e+01, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 1.2352e+00
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 4.0000e+01, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 9.7262e-01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 5.0000e+01, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 8.0501e-01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 6.0000e+01, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 6.8806e-01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 7.0000e+01, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 6.0151e-01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 8.0000e+01, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 5.3471e-01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 9.9990e+01, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 4.3811e-01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 5.0000e-04, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 1.6881e+02
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 1.0000e-03, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 1.5487e+02
