# This file is generated on 06-Dec-2021 at 11:29:41 and contains for each site, each satellite, frequency:
# att_rain = attenuation due to rain (dB); hr = mean rain height above sea level (km); R001 = Rain rate for 0.01 percente time of average year; k = k factor for rain attenuation; alpha = alpha factor for rain attenuation.
# All parameters are computed by: ITU-R P.618-10 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Budapest (Lat = 4.7498e+01 deg, Lon = 1.9040e+01 deg, Alt = 5.2700e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), hr (km), R001 (mm/h), k, alpha, att_rain (dB)
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 3.0000e-03, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 1.1489e+02
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 5.0000e-03, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 1.0157e+02
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 1.0000e-02, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 8.3592e+01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 1.6000e-02, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 7.1941e+01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 2.7000e-02, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 5.9834e+01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 4.5000e-02, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 4.9120e+01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 7.7000e-02, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 3.9181e+01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 1.3000e-01, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 3.0860e+01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 2.1000e-01, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 2.4409e+01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 3.5000e-01, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 1.8699e+01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 6.0000e-01, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 1.3855e+01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 9.5000e-01, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 1.0568e+01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 1.7000e+00, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 7.3519e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 3.0000e+00, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 5.0490e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 5.1000e+00, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 3.4865e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 8.3000e+00, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 2.4417e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 1.2000e+01, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 1.8453e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 1.9000e+01, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 1.2853e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 3.0000e+01, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 8.8493e-01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 4.0000e+01, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 6.9461e-01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 5.0000e+01, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 5.7349e-01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 6.0000e+01, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 4.8920e-01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 7.0000e+01, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 4.2693e-01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 8.0000e+01, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 3.7896e-01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 9.9990e+01, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 3.0974e-01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 5.0000e-04, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 1.4467e+02
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 1.0000e-03, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 1.3198e+02
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 3.0000e-03, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 1.0693e+02
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 5.0000e-03, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 9.4368e+01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 1.0000e-02, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 7.7484e+01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 1.6000e-02, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 6.6577e+01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 2.7000e-02, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 5.5274e+01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 4.5000e-02, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 4.5297e+01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 7.7000e-02, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 3.6066e+01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 1.3000e-01, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 2.8355e+01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 2.1000e-01, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 2.2391e+01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 3.5000e-01, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 1.7124e+01
