# This file is generated on 06-Dec-2021 at 11:45:48 and contains for each site, each satellite, frequency:
# att_scin = attenuation due to scintillation (dB).
# All parameters are computed by: ITU-R P.618-10 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Budapest (Lat = 4.7498e+01 deg, Lon = 1.9040e+01 deg, Alt = 5.2700e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), att_scin (dB)
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 5.0000e-04, 1.3092e+01
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 1.0000e-03, 1.1742e+01
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 3.0000e-03, 9.8579e+00
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 5.0000e-03, 9.0776e+00
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 1.0000e-02, 8.1053e+00
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 1.6000e-02, 7.4976e+00
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 2.7000e-02, 6.8652e+00
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 4.5000e-02, 6.2881e+00
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 7.7000e-02, 5.7192e+00
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 1.3000e-01, 5.1972e+00
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 2.1000e-01, 4.7432e+00
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 3.5000e-01, 4.2806e+00
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 6.0000e-01, 3.8111e+00
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 9.5000e-01, 3.4220e+00
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 1.7000e+00, 2.9387e+00
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 3.0000e+00, 2.4711e+00
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 5.1000e+00, 2.0325e+00
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 8.3000e+00, 1.6240e+00
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 1.2000e+01, 1.3086e+00
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 1.9000e+01, 9.0505e-01
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 3.0000e+01, 4.8954e-01
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 4.0000e+01, 2.1902e-01
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 5.0000e+01, 3.8754e-03
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 6.0000e+01, -1.7565e-01
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 7.0000e+01, -3.3021e-01
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 8.0000e+01, -4.6627e-01
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 9.0000e+01, -5.8802e-01
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 9.9990e+01, -6.9824e-01
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 5.0000e-04, 5.7249e+00
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 1.0000e-03, 5.1346e+00
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 3.0000e-03, 4.3106e+00
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 5.0000e-03, 3.9694e+00
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 1.0000e-02, 3.5442e+00
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 1.6000e-02, 3.2785e+00
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 2.7000e-02, 3.0019e+00
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 4.5000e-02, 2.7496e+00
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 7.7000e-02, 2.5008e+00
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 1.3000e-01, 2.2726e+00
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 2.1000e-01, 2.0741e+00
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 3.5000e-01, 1.8718e+00
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 6.0000e-01, 1.6665e+00
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 9.5000e-01, 1.4964e+00
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 1.7000e+00, 1.2850e+00
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 3.0000e+00, 1.0805e+00
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 5.1000e+00, 8.8876e-01
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 8.3000e+00, 7.1014e-01
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 1.2000e+01, 5.7221e-01
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 1.9000e+01, 3.9575e-01
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 3.0000e+01, 2.1406e-01
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 4.0000e+01, 9.5772e-02
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 5.0000e+01, 1.6946e-03
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 6.0000e+01, -7.6805e-02
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 7.0000e+01, -1.4439e-01
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 8.0000e+01, -2.0389e-01
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 9.0000e+01, -2.5712e-01
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 9.9990e+01, -3.0532e-01
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 5.0000e-04, 3.5463e+00
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 1.0000e-03, 3.1806e+00
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 3.0000e-03, 2.6702e+00
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 5.0000e-03, 2.4588e+00
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 1.0000e-02, 2.1955e+00
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 1.6000e-02, 2.0309e+00
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 2.7000e-02, 1.8596e+00
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 4.5000e-02, 1.7032e+00
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 7.7000e-02, 1.5492e+00
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 1.3000e-01, 1.4078e+00
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 2.1000e-01, 1.2848e+00
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 3.5000e-01, 1.1595e+00
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 6.0000e-01, 1.0323e+00
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 9.5000e-01, 9.2692e-01
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 1.7000e+00, 7.9600e-01
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 3.0000e+00, 6.6935e-01
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 5.1000e+00, 5.5055e-01
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 8.3000e+00, 4.3990e-01
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 1.2000e+01, 3.5446e-01
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 1.9000e+01, 2.4515e-01
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 3.0000e+01, 1.3260e-01
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 4.0000e+01, 5.9326e-02
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 5.0000e+01, 1.0497e-03
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 6.0000e+01, -4.7577e-02
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 7.0000e+01, -8.9445e-02
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 8.0000e+01, -1.2630e-01
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 9.0000e+01, -1.5928e-01
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 9.9990e+01, -1.8913e-01
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 5.0000e-04, 2.5381e+00
