# This file is generated on 06-Dec-2021 at 11:45:48 and contains for each site:
# att_oxy = attenuation due to oxygen (dB).
# All parameters are computed by: ITU-R P.676-8 model general method.
# Attenuation due to oxygen results are sorted acording to the site identification number:
#    _ 1 = Budapest (Lat = 4.7498e+01 deg, Lon = 1.9040e+01 deg, Alt = 5.2700e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, freq (GHz), elev (deg), prob_elev, att_oxy (dB)
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 1.9377e+00
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 1.0214e+00
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 6.9236e-01
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 5.2588e-01
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 4.2632e-01
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 3.6068e-01
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 3.1460e-01
1, 8, 3.7500e+01, 4.0000e+01, 1.0000e+00, 2.8083e-01
1, 9, 3.7500e+01, 4.5000e+01, 1.0000e+00, 2.5535e-01
1, 10, 3.7500e+01, 5.0000e+01, 1.0000e+00, 2.3574e-01
