# This file is generated on 06-Dec-2021 at 11:47:10 and contains for each site, each satellite, frequency:
# att_cld = attenuation due to clouds (dB); liq_cont = liquid water content (g/m^3).
# All parameters are computed by: ITU-R P.840-4 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Budapest (Lat = 4.7498e+01 deg, Lon = 1.9040e+01 deg, Alt = 5.2700e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), liq_cont (g/m^3), att_cld (dB)
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 4.5000e-02, 1.6521e+00, 2.1237e+00
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 7.7000e-02, 1.6521e+00, 2.1237e+00
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 1.3000e-01, 1.6035e+00, 2.0613e+00
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 2.1000e-01, 1.5140e+00, 1.9461e+00
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 3.5000e-01, 1.4002e+00, 1.8000e+00
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 6.0000e-01, 1.2596e+00, 1.6192e+00
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 9.5000e-01, 1.1491e+00, 1.4772e+00
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 1.7000e+00, 9.8005e-01, 1.2598e+00
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 3.0000e+00, 8.2049e-01, 1.0547e+00
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 5.1000e+00, 6.4977e-01, 8.3526e-01
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 8.3000e+00, 4.8892e-01, 6.2849e-01
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 1.2000e+01, 3.6665e-01, 4.7132e-01
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 1.9000e+01, 2.1359e-01, 2.7456e-01
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 3.0000e+01, 8.0706e-02, 1.0374e-01
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 5.0000e-04, 1.6521e+00, 2.0483e+00
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 1.0000e-03, 1.6521e+00, 2.0483e+00
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 3.0000e-03, 1.6521e+00, 2.0483e+00
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 5.0000e-03, 1.6521e+00, 2.0483e+00
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 1.0000e-02, 1.6521e+00, 2.0483e+00
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 1.6000e-02, 1.6521e+00, 2.0483e+00
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 2.7000e-02, 1.6521e+00, 2.0483e+00
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 4.5000e-02, 1.6521e+00, 2.0483e+00
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 7.7000e-02, 1.6521e+00, 2.0483e+00
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 1.3000e-01, 1.6035e+00, 1.9881e+00
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 2.1000e-01, 1.5140e+00, 1.8770e+00
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 3.5000e-01, 1.4002e+00, 1.7360e+00
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 6.0000e-01, 1.2596e+00, 1.5616e+00
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 9.5000e-01, 1.1491e+00, 1.4247e+00
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 1.7000e+00, 9.8005e-01, 1.2151e+00
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 3.0000e+00, 8.2049e-01, 1.0172e+00
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 5.1000e+00, 6.4977e-01, 8.0559e-01
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 8.3000e+00, 4.8892e-01, 6.0616e-01
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 1.2000e+01, 3.6665e-01, 4.5457e-01
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 1.9000e+01, 2.1359e-01, 2.6481e-01
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 3.0000e+01, 8.0706e-02, 1.0006e-01
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 5.0000e-04, 1.6521e+00, 1.9926e+00
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 1.0000e-03, 1.6521e+00, 1.9926e+00
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 3.0000e-03, 1.6521e+00, 1.9926e+00
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 5.0000e-03, 1.6521e+00, 1.9926e+00
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 1.0000e-02, 1.6521e+00, 1.9926e+00
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 1.6000e-02, 1.6521e+00, 1.9926e+00
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 2.7000e-02, 1.6521e+00, 1.9926e+00
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 4.5000e-02, 1.6521e+00, 1.9926e+00
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 7.7000e-02, 1.6521e+00, 1.9926e+00
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 1.3000e-01, 1.6035e+00, 1.9341e+00
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 2.1000e-01, 1.5140e+00, 1.8260e+00
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 3.5000e-01, 1.4002e+00, 1.6889e+00
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 6.0000e-01, 1.2596e+00, 1.5192e+00
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 9.5000e-01, 1.1491e+00, 1.3860e+00
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 1.7000e+00, 9.8005e-01, 1.1821e+00
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 3.0000e+00, 8.2049e-01, 9.8961e-01
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 5.1000e+00, 6.4977e-01, 7.8371e-01
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 8.3000e+00, 4.8892e-01, 5.8970e-01
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 1.2000e+01, 3.6665e-01, 4.4223e-01
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 1.9000e+01, 2.1359e-01, 2.5762e-01
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 3.0000e+01, 8.0706e-02, 9.7341e-02
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 5.0000e-04, 1.6521e+00, 1.9544e+00
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 1.0000e-03, 1.6521e+00, 1.9544e+00
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 3.0000e-03, 1.6521e+00, 1.9544e+00
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 5.0000e-03, 1.6521e+00, 1.9544e+00
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 1.0000e-02, 1.6521e+00, 1.9544e+00
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 1.6000e-02, 1.6521e+00, 1.9544e+00
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 2.7000e-02, 1.6521e+00, 1.9544e+00
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 4.5000e-02, 1.6521e+00, 1.9544e+00
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 7.7000e-02, 1.6521e+00, 1.9544e+00
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 1.3000e-01, 1.6035e+00, 1.8970e+00
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 2.1000e-01, 1.5140e+00, 1.7910e+00
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 3.5000e-01, 1.4002e+00, 1.6565e+00
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 6.0000e-01, 1.2596e+00, 1.4901e+00
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 9.5000e-01, 1.1491e+00, 1.3594e+00
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 1.7000e+00, 9.8005e-01, 1.1594e+00
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 3.0000e+00, 8.2049e-01, 9.7064e-01
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 5.1000e+00, 6.4977e-01, 7.6868e-01
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 8.3000e+00, 4.8892e-01, 5.7839e-01
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 1.2000e+01, 3.6665e-01, 4.3375e-01
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 1.9000e+01, 2.1359e-01, 2.5268e-01
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 3.0000e+01, 8.0706e-02, 9.5475e-02
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 5.0000e-04, 1.6521e+00, 1.9321e+00
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 1.0000e-03, 1.6521e+00, 1.9321e+00
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 3.0000e-03, 1.6521e+00, 1.9321e+00
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 5.0000e-03, 1.6521e+00, 1.9321e+00
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 1.0000e-02, 1.6521e+00, 1.9321e+00
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 1.6000e-02, 1.6521e+00, 1.9321e+00
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 2.7000e-02, 1.6521e+00, 1.9321e+00
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 4.5000e-02, 1.6521e+00, 1.9321e+00
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 7.7000e-02, 1.6521e+00, 1.9321e+00
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 1.3000e-01, 1.6035e+00, 1.8753e+00
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 2.1000e-01, 1.5140e+00, 1.7705e+00
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 3.5000e-01, 1.4002e+00, 1.6376e+00
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 6.0000e-01, 1.2596e+00, 1.4731e+00
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 9.5000e-01, 1.1491e+00, 1.3439e+00
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 1.7000e+00, 9.8005e-01, 1.1461e+00
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 3.0000e+00, 8.2049e-01, 9.5954e-01
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 5.1000e+00, 6.4977e-01, 7.5990e-01
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 8.3000e+00, 4.8892e-01, 5.7178e-01
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 1.2000e+01, 3.6665e-01, 4.2879e-01
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 1.9000e+01, 2.1359e-01, 2.4979e-01
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 3.0000e+01, 8.0706e-02, 9.4384e-02
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 5.0000e-04, 1.6521e+00, 1.9247e+00
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 1.0000e-03, 1.6521e+00, 1.9247e+00
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 3.0000e-03, 1.6521e+00, 1.9247e+00
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 5.0000e-03, 1.6521e+00, 1.9247e+00
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 1.0000e-02, 1.6521e+00, 1.9247e+00
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 1.6000e-02, 1.6521e+00, 1.9247e+00
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 2.7000e-02, 1.6521e+00, 1.9247e+00
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 4.5000e-02, 1.6521e+00, 1.9247e+00
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 7.7000e-02, 1.6521e+00, 1.9247e+00
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 1.3000e-01, 1.6035e+00, 1.8682e+00
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 2.1000e-01, 1.5140e+00, 1.7638e+00
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 3.5000e-01, 1.4002e+00, 1.6313e+00
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 6.0000e-01, 1.2596e+00, 1.4675e+00
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 9.5000e-01, 1.1491e+00, 1.3388e+00
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 1.7000e+00, 9.8005e-01, 1.1418e+00
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 3.0000e+00, 8.2049e-01, 9.5589e-01
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 5.1000e+00, 6.4977e-01, 7.5700e-01
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 8.3000e+00, 4.8892e-01, 5.6960e-01
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 1.2000e+01, 3.6665e-01, 4.2716e-01
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 1.9000e+01, 2.1359e-01, 2.4884e-01
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 3.0000e+01, 8.0706e-02, 9.4024e-02
