# This file is generated on 06-Dec-2021 at 11:47:10 and contains for each site, each satellite, frequency:
# att_scin_cdf_val = cdf value of attenuation due to scintillation (dB); att_scin_cdf_prob = cdf probability of attenuation due to scintillation (%).
# All parameters are computed by: ITU-R P.618-10 model.
# Attenuation due to scintillation results are sorted acording to the site identification number:
#    _ 1 = Budapest (Lat = 4.7498e+01 deg, Lon = 1.9040e+01 deg, Alt = 5.2700e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), att_scin_cdf_val (dB), att_scin_cdf_prob (%)
1, 1, 3.7500e+01, 8.8989e-01, 5.0000e-04
1, 1, 3.7500e+01, 7.9813e-01, 1.0000e-03
1, 1, 3.7500e+01, 6.7004e-01, 3.0000e-03
1, 1, 3.7500e+01, 6.1700e-01, 5.0000e-03
1, 1, 3.7500e+01, 5.5092e-01, 1.0000e-02
1, 1, 3.7500e+01, 5.0961e-01, 1.6000e-02
1, 1, 3.7500e+01, 4.6663e-01, 2.7000e-02
1, 1, 3.7500e+01, 4.2740e-01, 4.5000e-02
1, 1, 3.7500e+01, 3.8874e-01, 7.7000e-02
1, 1, 3.7500e+01, 3.5325e-01, 1.3000e-01
1, 1, 3.7500e+01, 3.2240e-01, 2.1000e-01
1, 1, 3.7500e+01, 2.9095e-01, 3.5000e-01
1, 1, 3.7500e+01, 2.5904e-01, 6.0000e-01
1, 1, 3.7500e+01, 2.3260e-01, 9.5000e-01
1, 1, 3.7500e+01, 1.9974e-01, 1.7000e+00
1, 1, 3.7500e+01, 1.6796e-01, 3.0000e+00
1, 1, 3.7500e+01, 1.3815e-01, 5.1000e+00
1, 1, 3.7500e+01, 1.1039e-01, 8.3000e+00
1, 1, 3.7500e+01, 8.8945e-02, 1.2000e+01
1, 1, 3.7500e+01, 6.1516e-02, 1.9000e+01
1, 1, 3.7500e+01, 3.3274e-02, 3.0000e+01
1, 1, 3.7500e+01, 8.8989e-01, 5.0000e-04
1, 1, 3.7500e+01, 7.9813e-01, 1.0000e-03
1, 1, 3.7500e+01, 6.7004e-01, 3.0000e-03
1, 1, 3.7500e+01, 6.1700e-01, 5.0000e-03
1, 1, 3.7500e+01, 5.5092e-01, 1.0000e-02
1, 1, 3.7500e+01, 5.0961e-01, 1.6000e-02
1, 1, 3.7500e+01, 4.6663e-01, 2.7000e-02
1, 1, 3.7500e+01, 4.2740e-01, 4.5000e-02
1, 1, 3.7500e+01, 3.8874e-01, 7.7000e-02
1, 1, 3.7500e+01, 3.5325e-01, 1.3000e-01
1, 1, 3.7500e+01, 3.2240e-01, 2.1000e-01
1, 1, 3.7500e+01, 2.9095e-01, 3.5000e-01
1, 1, 3.7500e+01, 2.5904e-01, 6.0000e-01
1, 1, 3.7500e+01, 2.3260e-01, 9.5000e-01
1, 1, 3.7500e+01, 1.9974e-01, 1.7000e+00
1, 1, 3.7500e+01, 1.6796e-01, 3.0000e+00
1, 1, 3.7500e+01, 1.3815e-01, 5.1000e+00
1, 1, 3.7500e+01, 1.1039e-01, 8.3000e+00
1, 1, 3.7500e+01, 8.8945e-02, 1.2000e+01
1, 1, 3.7500e+01, 6.1516e-02, 1.9000e+01
1, 1, 3.7500e+01, 3.3274e-02, 3.0000e+01
1, 1, 3.7500e+01, 8.8989e-01, 5.0000e-04
1, 1, 3.7500e+01, 7.9813e-01, 1.0000e-03
