# This file is generated on 06-Dec-2021 at 11:47:10 and contains for each site:
# att_oxy = attenuation due to oxygen (dB).
# All parameters are computed by: ITU-R P.676-8 model general method.
# Attenuation due to oxygen results are sorted acording to the site identification number:
#    _ 1 = Budapest (Lat = 4.7498e+01 deg, Lon = 1.9040e+01 deg, Alt = 5.2700e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, freq (GHz), elev (deg), prob_elev, att_oxy (dB)
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 2.2049e-01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 2.0857e-01
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 1.9931e-01
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 1.9224e-01
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 1.8703e-01
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 1.8345e-01
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 1.8135e-01
1, 8, 3.7500e+01, 9.0000e+01, 1.0000e+00, 1.8066e-01
