FREQUENCY,ELEVATION,PROBABILITY,ATTENUATION
7.5000e+01, 6.5000e+01, 8.0000e+01, 1.1211e+00
7.5000e+01, 6.5000e+01, 9.9990e+01, 1.0779e+00
7.5000e+01, 7.0000e+01, 5.0000e-04, 1.3012e+02
7.5000e+01, 7.0000e+01, 1.0000e-03, 1.1868e+02
7.5000e+01, 7.0000e+01, 3.0000e-03, 9.6657e+01
7.5000e+01, 7.0000e+01, 5.0000e-03, 8.5789e+01
7.5000e+01, 7.0000e+01, 1.0000e-02, 7.1323e+01
7.5000e+01, 7.0000e+01, 1.6000e-02, 6.2056e+01
7.5000e+01, 7.0000e+01, 2.7000e-02, 5.2515e+01
7.5000e+01, 7.0000e+01, 4.5000e-02, 4.4146e+01
7.5000e+01, 7.0000e+01, 7.7000e-02, 3.6450e+01
7.5000e+01, 7.0000e+01, 1.3000e-01, 2.9878e+01
7.5000e+01, 7.0000e+01, 2.1000e-01, 2.4625e+01
7.5000e+01, 7.0000e+01, 3.5000e-01, 1.9878e+01
7.5000e+01, 7.0000e+01, 6.0000e-01, 1.5712e+01
7.5000e+01, 7.0000e+01, 9.5000e-01, 1.2846e+01
7.5000e+01, 7.0000e+01, 1.7000e+00, 9.8294e+00
7.5000e+01, 7.0000e+01, 3.0000e+00, 7.5382e+00
7.5000e+01, 7.0000e+01, 5.1000e+00, 5.7573e+00
7.5000e+01, 7.0000e+01, 8.3000e+00, 4.3959e+00
7.5000e+01, 7.0000e+01, 1.2000e+01, 3.5068e+00
7.5000e+01, 7.0000e+01, 1.9000e+01, 2.5302e+00
7.5000e+01, 7.0000e+01, 3.0000e+01, 1.7455e+00
7.5000e+01, 7.0000e+01, 4.0000e+01, 1.4529e+00
7.5000e+01, 7.0000e+01, 5.0000e+01, 1.2451e+00
7.5000e+01, 7.0000e+01, 6.0000e+01, 1.1626e+00
7.5000e+01, 7.0000e+01, 7.0000e+01, 1.1186e+00
7.5000e+01, 7.0000e+01, 8.0000e+01, 1.0849e+00
7.5000e+01, 7.0000e+01, 9.9990e+01, 1.0365e+00
7.5000e+01, 7.5000e+01, 5.0000e-04, 1.2868e+02
7.5000e+01, 7.5000e+01, 1.0000e-03, 1.1731e+02
7.5000e+01, 7.5000e+01, 3.0000e-03, 9.5468e+01
7.5000e+01, 7.5000e+01, 5.0000e-03, 8.4700e+01
7.5000e+01, 7.5000e+01, 1.0000e-02, 7.0375e+01
7.5000e+01, 7.5000e+01, 1.6000e-02, 6.1204e+01
7.5000e+01, 7.5000e+01, 2.7000e-02, 5.1765e+01
7.5000e+01, 7.5000e+01, 4.5000e-02, 4.3489e+01
7.5000e+01, 7.5000e+01, 7.7000e-02, 3.5882e+01
7.5000e+01, 7.5000e+01, 1.3000e-01, 2.9389e+01
7.5000e+01, 7.5000e+01, 2.1000e-01, 2.4206e+01
7.5000e+01, 7.5000e+01, 3.5000e-01, 1.9524e+01
7.5000e+01, 7.5000e+01, 6.0000e-01, 1.5419e+01
7.5000e+01, 7.5000e+01, 9.5000e-01, 1.2597e+01
7.5000e+01, 7.5000e+01, 1.7000e+00, 9.6300e+00
7.5000e+01, 7.5000e+01, 3.0000e+00, 7.3785e+00
7.5000e+01, 7.5000e+01, 5.1000e+00, 5.6311e+00
7.5000e+01, 7.5000e+01, 8.3000e+00, 4.2971e+00
7.5000e+01, 7.5000e+01, 1.2000e+01, 3.4268e+00
7.5000e+01, 7.5000e+01, 1.9000e+01, 2.4718e+00
7.5000e+01, 7.5000e+01, 3.0000e+01, 1.7050e+00
7.5000e+01, 7.5000e+01, 4.0000e+01, 1.4188e+00
7.5000e+01, 7.5000e+01, 5.0000e+01, 1.2156e+00
